filename,gender,transcript
MF1.mpeg,Female,गणो बढ़िया। सोनोग्राफीरी रिपोर्ट में बालकरी हालत और पानी रोस्तर बिल्कुल ठीक है।
MF10.ogg,Female,"हाँ डॉक्टर साहब, रसोईरो काम करता करता अचानक माथो घूमन लाग जावे हैं और हाथ पग ठंडा पड़ जावे हैं।"
MF100.ogg,Female,E-UTI मतलब मूत्र मारगरो इंफेक्शन है।
MF101.ogg,Female,इस खातर महाने काई परहेज रखनो पड़ सी।
MF102.ogg,Female,दिन में कम सुकम 3-4 लीटर पानी पीजो। मैं सिरप और एंटीबायोटिक लिखू हूँ। दो-तीन दिन में जलन शांत हो जाती।
MF103.ogg,Female,मैं थारी शुगर रीव डिपोर्ट देखी। फास्टिंग शुगर 145 आई है।
MF104.ogg,Female,डॉक्टर साहब मैं तो मीठों बिलकुल नहीं खाऊं फेर भी शुगर क्यों बढ़ रही है।
MF105.ogg,Female,"केवल मीटों की कारण को नहीं चावल, आलू और तनावसू भी शुगर बड़े है। तू रोज पैदल चालो हो।"
MF106.ogg,Female,गर आकाम में इस फुरसत को नहीं मिले डॉक्टर सहाब अलग सूप तहलड रोड टाइम नहीं मिले।
MF107.ogg,Female,घर रोकाम और सेर अलग बात है। थाने रोज 30 मिनट रुके ठेलनो परसी।
MF108.ogg,Female,डॉक्टर साफ दवाईरी मात्रा बड़ा वड़ी पड़सी।
MF109.ogg,Female,"हाँ, दवाई नी मात्रा थोड़ी बढ़ावू हूँ। एक महिना पाचे ABA-1 सीरी जार्ज करवा के फेर माने दिखाव जो।"
MF11.mpeg,Female,थाने पेटरी सोनोग्राफी कराई थी के?
MF110.ogg,Female,बच्चारी उमर कितनी है? काई तकलीफ है?
MF111.ogg,Female,डॉक्टर साहब यो बच्चो तीन साल जो हो गयो है पड़ घड़ो कमजूर है ना ठीक सुखावे है और ना इरो वजन बड़े है।
MF112.ogg,Female,यह बारबार बिमार पर जावे है या दस्तरी शिकायत रहे है।
MF113.ogg,Female,"हाँ जी महिने में दो वार तो बुखार या दस हो जावे हैं, घड़ो चुर्चरो भी रह वे हैं।"
